dataset,method,sil,db,ch
blobs,agglo-complete,0.7556721060910236,0.3394276490324028,5937.966481106054
blobs,agglo-ward,0.7556721060910236,0.3394276490324028,5937.966481106056
blobs,fcm,0.7556721060910236,0.3394276490324028,5937.966481106054
blobs,kmeans,0.7556721060910236,0.3394276490324028,5937.966481106054
blobs,agglo-average,0.7551931518372729,0.3398449626586153,5924.924913707703
blobs,agglo-single,0.6030034262254996,0.3864746824281475,1663.5164774391362
blobs,kmedoids,0.581409792835331,0.78753443683709,1712.667532373858
blobs,dbscan,0.5229051630755869,1.4747410585744527,1197.1816533839794
circles,kmeans,0.3525566572085186,1.1866611312579376,457.33774707485145
circles,kmedoids,0.3520131107473159,1.1876854656819824,455.6874996341204
circles,fcm,0.3519089981604865,1.188247429181618,456.2384256657067
circles,agglo-ward,0.3506448412303521,1.18908716121379,453.66023748559536
circles,agglo-complete,0.3408295380777278,1.210502678048364,432.99429483007185
circles,agglo-average,0.3365345183751758,1.2140955484267806,424.65803891607095
circles,agglo-single,0.1122759596629771,298.11270243895433,0.0080681755590195
circles,dbscan,0.092072543550077,1.788294292572371,193.9527090964212
iris,agglo-single,0.504645610832545,0.4929252276829151,131.53589557747262
iris,agglo-average,0.4802669329728697,0.5752687144265147,149.02579903933162
iris,kmeans,0.4798814508199817,0.7893630242997913,157.36015312192248
iris,kmedoids,0.4590416105554613,0.8384547897989041,239.7482681281416
iris,fcm,0.4584417160677393,0.8340456051167718,241.41125563231705
iris,agglo-complete,0.4496184835988472,0.7583583251269742,213.0817099951931
iris,agglo-ward,0.4466890410285909,0.8034665302876753,222.71916382215363
moons,fcm,0.494389506222243,0.8107295580455524,1110.7448719673616
moons,kmeans,0.4942688877015936,0.8108275871140749,1111.5673617342884
moons,agglo-complete,0.4907218108084843,0.8136269361909645,1096.914831338657
moons,kmedoids,0.4852522761950923,0.8181948331713641,1061.468037360621
moons,agglo-average,0.4509797775891942,0.8766924892501363,898.943385782148
moons,agglo-ward,0.4483900967129811,0.8683520623366444,908.4644971415964
moons,agglo-single,0.3883583350480254,1.0187131126947506,697.2689456051206
moons,dbscan,0.1748626649031472,1.7516526756143307,290.60985612928926
