algorithm,k,sil,db,ch,time,link,eps,min_samples,m
kmeans,2.0,0.49426888770159366,0.8108275871140749,1111.5673617342884,0.03221297264099121,,,,
kmeans,3.0,0.44470877291551686,0.8712244325109322,885.4624086910615,0.0009889602661132812,,,,
kmeans,4.0,0.43740535039449896,0.9265282059450204,1027.5819144953268,0.0010917186737060547,,,,
kmeans,5.0,0.46395925703101865,0.7502702845184468,1131.9283466575937,0.001683950424194336,,,,
kmeans,6.0,0.4656296337654207,0.7069182508560901,1195.410977583667,0.0019919872283935547,,,,
kmeans,7.0,0.4820463509606263,0.672027108665945,1279.2593983801717,0.0019237995147705078,,,,
kmedoids,2.0,0.48525227619509237,0.8181948331713641,1061.468037360621,0.005464076995849609,,,,
kmedoids,3.0,0.3886462007229885,0.9993730173198062,799.7615361720616,0.004333019256591797,,,,
kmedoids,4.0,0.411366928015124,0.9219537380876034,923.5082630024076,0.01218104362487793,,,,
kmedoids,5.0,0.426010349317068,0.7608585599277677,963.3969203224925,0.0048601627349853516,,,,
kmedoids,6.0,0.48397240348023085,0.6717309515148031,1227.0600623909593,0.008117914199829102,,,,
kmedoids,7.0,0.45863571105140866,0.7102222884671985,1228.6391451116424,0.004975795745849609,,,,
agglo,2.0,0.44839009671298113,0.8683520623366444,908.4644971415964,0.024621963500976562,ward,,,
agglo,2.0,0.49072181080848437,0.8136269361909645,1096.914831338657,0.003239870071411133,complete,,,
agglo,2.0,0.4509797775891942,0.8766924892501363,898.943385782148,0.003287076950073242,average,,,
agglo,3.0,0.42558201451603217,0.9164502607877395,842.5440464281791,0.0033648014068603516,ward,,,
agglo,3.0,0.43288949999176324,0.869732076504512,871.8595764923756,0.003240823745727539,complete,,,
agglo,3.0,0.39103879933269026,0.8890136891286616,717.2204246067402,0.0032508373260498047,average,,,
agglo,4.0,0.4034349095400644,0.942967452400437,843.2558118286554,0.00335693359375,ward,,,
agglo,4.0,0.39802706806814414,0.9283827020472275,929.5701739589551,0.003201723098754883,complete,,,
agglo,4.0,0.40529518117584645,0.8042567865678838,813.4611718932986,0.003299236297607422,average,,,
agglo,5.0,0.4411776773160494,0.7655474546297862,967.2417319838355,0.00333404541015625,ward,,,
agglo,5.0,0.4033279038458406,0.8934840731530747,889.2809661425549,0.0031828880310058594,complete,,,
agglo,5.0,0.4514014825868442,0.7292634764082397,1059.073334160735,0.003255128860473633,average,,,
agglo,6.0,0.4370429053367839,0.757088179684892,997.0366744584222,0.0033621788024902344,ward,,,
agglo,6.0,0.4074899304492834,0.8739370633191639,940.3593338862021,0.003239154815673828,complete,,,
agglo,6.0,0.45200961131864703,0.6879699981053579,1021.7965515393182,0.0031201839447021484,average,,,
agglo,7.0,0.42502609863516383,0.7394177488488379,1094.5418374962876,0.0031960010528564453,ward,,,
agglo,7.0,0.3933173284113232,0.8448689954568759,973.1399969969576,0.0030121803283691406,complete,,,
agglo,7.0,0.4363313069837328,0.6564922289253481,989.8672344626491,0.003075838088989258,average,,,
dbscan,,0.09500622058366473,2.395751804359346,259.3351013998473,0.0015261173248291016,,0.1,3.0,
dbscan,,0.09137219430551091,1.8846439337939458,262.7010709551894,0.0011088848114013672,,0.1,5.0,
dbscan,,0.3883583350480254,1.0187131126947506,697.2689456051206,0.0014641284942626953,,0.3,3.0,
dbscan,,0.3883583350480254,1.0187131126947506,697.2689456051206,0.001428842544555664,,0.3,5.0,
dbscan,,,,,0.0019378662109375,,0.5,3.0,
dbscan,,,,,0.0018091201782226562,,0.5,5.0,
dbscan,,,,,0.0018939971923828125,,0.7,3.0,
dbscan,,,,,0.0019021034240722656,,0.7,5.0,
dbscan,,,,,0.002231121063232422,,1.0,3.0,
dbscan,,,,,0.0020558834075927734,,1.0,5.0,
fcm,2.0,0.494389506222243,0.8107295580455524,1110.7448719673616,0.005033969879150391,,,,2.0
fcm,3.0,0.38814155030086467,0.9994601525803374,803.2268808190785,0.01508784294128418,,,,2.0
fcm,4.0,0.4277843565611579,0.9288587835583886,1008.8369504124049,0.009635210037231445,,,,2.0
fcm,5.0,0.4490726772769228,0.7446893426396798,1086.095598569972,0.011588811874389648,,,,2.0
fcm,6.0,0.45420164837937205,0.6878300545144445,1179.3513044777421,0.019436120986938477,,,,2.0
fcm,7.0,0.4564963478691648,0.7034906128388814,1213.666174253787,0.025741100311279297,,,,2.0
